nan,8.811334811935179340e-03,1.544112581110308573e-02,6.966429482796781397e-03,6.492906687924869524e-03,8.794713853908186357e-03,1.237465121201900388e-03,1.033103566226295338e-02,1.558447696568680037e-03,1.507930428247901324e-04,2.206589783976965063e-03
1.254732724524361236e-02,nan,1.719226849513142211e-02,3.392153983078881330e-02,3.294358949374981416e-02,5.901272387335471103e-02,6.065957667801031780e-03,3.184807136662252264e-02,8.060165323335671816e-03,3.122951058450514940e-03,2.086202427492199300e-03
7.110280481332902427e-03,3.233322511303141078e-02,nan,2.231203810270313698e-02,2.078555923220423013e-02,3.353229849809308272e-02,7.106638420908223397e-03,1.307794628648424259e-02,3.808057900189329870e-03,1.548895117420248223e-03,2.732118474855139111e-03
1.084047748746439638e-02,4.044453848873067608e-02,4.700045881550935639e-02,nan,5.695978784988971373e-03,3.327234331453740590e-02,1.388197745148792017e-02,9.979975759196103857e-03,1.615380556242560633e-02,1.540774185115685417e-02,7.447192364098267209e-03
9.362906321949505950e-03,2.478350666395976246e-02,3.348029315288252733e-02,5.016264807202285361e-03,nan,3.312204399443621772e-02,1.458148569407207579e-02,1.588327373846412996e-02,2.500637275225641928e-02,1.595202371299347249e-02,3.159041962316795280e-03
5.214903011626045512e-03,3.117506943939235553e-02,2.711750602446437453e-02,4.517044910328624555e-03,4.376724031027320709e-03,nan,1.043623301336500490e-02,1.546557001641627946e-02,6.239536629703742662e-03,1.800227554607497157e-02,2.006015656915471554e-03
2.381591279730437775e-03,1.538642132083117148e-02,2.891017888283270096e-02,3.434035971566245203e-03,3.348982225934966396e-03,6.975200054730427632e-03,nan,4.473095386368799303e-02,3.948972872362715991e-02,2.449081123383253789e-03,1.189150274617298232e-03
3.188670252308522385e-03,8.417666094925309664e-03,6.811409660167582966e-03,6.882251564126123239e-03,6.777264386332819759e-03,2.241814692422927982e-03,7.400327661327202149e-03,nan,3.951621126643184434e-03,1.679288140595326965e-03,2.983603461109620141e-03
2.414542117475537968e-03,3.462965206338066565e-02,2.767058393496015997e-02,3.950414384647180088e-02,4.114958853959922724e-02,4.826702687779697160e-02,2.257664020569835964e-02,4.969690997309193781e-02,nan,1.764971961692370431e-03,1.203684924700342994e-03
7.560289365666965442e-04,1.113050346091738578e-02,7.928914736679126135e-03,3.543495607421721558e-04,3.270622462944923221e-04,3.406839689364543362e-04,2.084306632214158461e-02,9.324392964343296980e-03,1.335637570969285329e-02,nan,4.302094030439828189e-04
1.645757882625147528e-03,1.513996568105305512e-03,3.154049487385831695e-03,1.077183859350168502e-03,7.087984780163343731e-04,7.681447058895654514e-04,4.467595734699966650e-04,1.385615431198220773e-03,5.622235878944797753e-04,5.457556213664634587e-05,nan
