nan,9.488336438278016302e-03,1.586808373589235557e-02,6.966429482796781397e-03,6.492906687924869524e-03,8.794713853908186357e-03,1.244251987129752325e-03,1.033103566226295338e-02,1.571599020991430512e-03,1.507930428247901324e-04,2.206589783976965063e-03
1.295917767406245050e-02,nan,2.641067942772242980e-02,3.392153983078881330e-02,3.294358949374981416e-02,5.901272387335471103e-02,2.375456361486571327e-02,3.184807136662252264e-02,1.816551365669013401e-02,6.769424675395758866e-03,1.320021644500059266e-02
1.279961009682496070e-02,4.716180930970050034e-02,nan,2.231203810270313698e-02,2.177841727558770327e-02,3.400673062555458620e-02,1.921551038333939310e-02,1.901425843861934833e-02,1.951039030507592531e-02,8.676102242326210953e-03,1.378244431874812298e-02
2.007332884115604205e-02,4.044453848873067608e-02,4.700045881550935639e-02,nan,8.361189340791186711e-03,3.327234331453740590e-02,1.494486950040912858e-02,9.979975759196103857e-03,1.615380556242560633e-02,2.056152064115432040e-02,7.754595524235173044e-03
9.362906321949505950e-03,3.170513268935661044e-02,3.348029315288252733e-02,6.977059664066264516e-03,nan,3.312204399443621772e-02,3.107852192129446217e-02,1.588327373846412996e-02,2.978946489146104201e-02,2.058888623555724107e-02,3.159041962316795280e-03
5.359935566166977583e-03,4.895103769460257270e-02,2.711750602446437453e-02,7.506667073209785310e-03,7.123155128321151386e-03,nan,1.356636462934779006e-02,1.857087782432675568e-02,2.050881270415419455e-02,1.800227554607497157e-02,2.006015656915471554e-03
2.422970212131495080e-03,4.218521574119399320e-02,3.489660510097360863e-02,2.227863002931062403e-02,2.214380004539244842e-02,2.392506539353708023e-02,nan,4.473095386368799303e-02,3.948972872362715991e-02,7.731607136209999592e-03,1.189150274617298232e-03
1.136832215327929219e-02,2.496249087266787930e-02,1.416896489452086107e-02,6.882251564126123239e-03,6.777264386332819759e-03,1.300772073394059446e-02,1.364672522512209128e-02,nan,9.103676429827862321e-03,8.421429405159705506e-03,2.983603461109620141e-03
2.455672189862045246e-03,3.927534116337665776e-02,2.767058393496015997e-02,3.950414384647180088e-02,4.114958853959922724e-02,4.826702687779697160e-02,3.181229779957968351e-02,4.969690997309193781e-02,nan,8.692515817720188054e-03,1.203684924700342994e-03
7.697054859817312883e-04,1.179550450879074223e-02,8.308616075597132292e-03,1.626118192627027531e-02,1.626118192627027531e-02,1.845371166285406442e-02,2.084306632214158461e-02,1.687534605680752336e-02,2.094081850336831571e-02,nan,4.302094030439828189e-04
1.710961304699716622e-03,5.346775341328881617e-03,6.290838249091041182e-03,5.075413131563370414e-03,7.550967436353115542e-04,8.156059990790654173e-04,4.879755848842604656e-04,1.445450688119823959e-03,6.056684631660070282e-04,8.834210965533531058e-05,nan
